PostalCode,n,mean,std,ci_lower,ci_upper
7406,90,119.03121832358633,224.41692503105995,72.66620125574535,165.3962353914273
9459,90,119.03001448992822,223.70778205006732,72.81150787985557,165.24852110000086
9752,120,118.86463450292366,191.97760924723775,84.51548191018634,153.213787095661
0121,100,118.78185087719261,217.80178145379472,76.09270171224884,161.47100004213638
2008,130,118.35283572392463,258.42210340523866,73.92920480500467,162.77646664284458
1052,99,118.20565390749572,192.59037168884058,80.26777505268177,156.14353276230966
6211,393,117.94686573056586,217.4611172239974,96.44671963031347,139.44701183081827
3105,292,117.78340242730076,225.0931046937009,91.96515033199707,143.60165452260443
0317,254,117.5235170603671,177.38678221533846,95.7082532742318,139.3387808465024
1494,230,117.31652212051837,226.4585964961046,88.04933631433757,146.58370792669916
0193,138,117.2001558182893,224.16979625250949,79.79825921876318,154.60205241781543
9750,280,117.16852911512605,198.86251872334444,93.87528428828715,140.46177394196496
5140,178,117.14954516478723,231.13991870819672,83.19319320669796,151.1058971228765
3969,198,116.99715189529661,242.53046476436197,83.21480826242683,150.7794955281664
1757,65,116.94573549257738,196.6057394662287,69.14929169429624,164.74217929085853
1280,110,116.75996025621185,218.4954039685281,75.92783030941735,157.59209020300636
1801,77,116.71544750675353,230.62810153990236,65.20172516416633,168.22916984934074
5219,1142,116.65919577830626,236.7890590779702,102.92558764960185,130.39280390701066
4399,253,116.54938660633773,231.75134048409632,87.99202599905078,145.1067472136247
3973,489,116.39759049976631,222.03016672218854,96.71811013036718,136.07707086916542
1864,251,116.0471227500053,211.6959573512866,89.85734727604688,142.23689822396372
9868,100,116.042377192982,179.13468996504216,80.93197795983374,151.15277642613026
4450,538,115.91686748996858,218.6523459128602,97.44039436025174,134.39334061968543
1830,457,115.82439471744065,207.70291736430372,96.78116668280184,134.86762275207946
0220,130,115.60693859649089,182.47498535973983,84.23887334688314,146.97500384609864
2069,320,115.4233722065998,219.05640237762725,91.42194688207667,139.42479753112292
6201,150,115.2613380116955,220.0232559235445,80.05028371920812,150.47239230418288
1861,50,115.24467555555513,218.0946131371921,54.79193303884556,175.6974180722647
3370,643,115.22541206888067,214.80521744604863,98.62207400638063,131.82875013138073
1133,150,115.18173520467788,199.63108339519735,83.23410818501891,147.12936222433683
7532,120,115.11875438596431,206.21768728636332,78.2217285520904,152.01578021983823
1928,206,115.02023328018045,229.97049166601147,83.61553864428969,146.4249279160712
1631,70,114.96452595775106,231.31141262499614,60.77640242290121,169.15264949260091
3270,120,114.9542941520464,217.69686907600476,76.00338209426204,153.90520620983077
1693,90,114.70842070678448,209.7385319816059,71.3759910615375,158.04085035203144
0600,70,114.6120721446469,212.98090301348435,64.71814191402322,164.50600237527058
1459,401,114.57494024206567,200.96946879150522,94.9045049962074,134.24537548792395
6200,365,114.56958419708826,235.33518681434637,90.42629114233854,138.712877251838
0984,100,114.48602807017488,199.7964374473054,75.32592633050302,153.64612980984674
7200,66,114.28540026753058,216.45403532926164,62.063846390673504,166.50695414438763
4240,310,114.20093123254246,225.45017213706657,89.10370094607863,139.29816151900627
2189,80,114.0812192982454,188.3551636286342,72.80607421914664,155.35636437734416
0004,77,113.94773654916482,238.29188309265624,60.722211037896976,167.17326206043265
1491,248,113.7759547951234,313.7328111584642,74.72873007109669,152.8231795191501
1625,209,113.61658952134106,274.79097746856417,76.36151836498017,150.87166067770193
3380,409,113.57551369188508,210.04473787122234,93.21886774494975,133.9321596388204
1747,99,112.99413255360578,206.58664987748116,72.29916308370743,153.68910202350412
8306,99,112.97350877192936,211.50464957574567,71.30975527028193,154.6372622735768
1983,624,112.84206241172386,197.27899431728966,97.36300105089344,128.32112377255427
2570,100,112.80700631578898,198.0593477140706,73.98737416383113,151.62663846774683
0950,171,112.80370883348678,190.36029240565009,84.27156666120958,141.33585100576397
5130,160,112.78371180378652,218.77369334583148,78.88437681188404,146.683046795689
5601,178,112.44726044905632,209.74496749794275,81.63400249862175,143.26051839949088
3900,689,112.37402874830657,212.03149286277903,96.54162590879879,128.20643158781436
5670,220,112.27439742501367,251.8197610044098,78.99813517101256,145.55065967901479
1860,70,112.19903039857672,217.6820966745882,61.203775940245556,163.1942848569079
1829,66,112.12623737373701,280.87062085815876,44.36358172604261,179.88889302143141
5319,235,111.98428807992833,223.9476987157903,83.35116340939557,140.61741275046109
6500,336,111.94623871506697,235.90259065853553,86.7219375540588,137.17053987607514
0008,1024,111.94326907085171,198.76551936726977,99.76888100960645,124.11765713209698
1150,310,111.92627672198147,176.92400540931396,92.2310045255976,131.62154891836533
5600,255,111.89058037884058,199.5190201433753,87.40162361717196,136.3795371405092
0925,99,111.75782296650681,198.97416926184545,72.56241635039021,150.9532295826234
4480,120,111.6834976608183,207.1021592411555,74.62821971484507,148.73877560679153
2870,497,111.32578703199829,202.2831619984988,93.54145284238894,129.11012122160764
1948,230,111.27545405018475,219.15590374355241,82.95205783283535,139.59885026753415
7786,327,111.22910150672588,217.0445544808491,87.70402258078884,134.7541804326629
6708,84,111.19590636537541,227.0269644915547,62.64538805170735,159.74642467904346
0007,108,110.71103439602531,287.71242096538606,56.448158789460884,164.97391000258975
3934,84,110.70994987468632,295.5188065686693,47.51220919010244,173.90769055927018
1474,110,110.68601322220465,205.7088335870144,72.24342051010183,149.12860593430747
1449,170,110.5816825151109,199.88127536259978,80.5345022497731,140.6288627804487
1982,210,110.51608327269747,189.64863800123032,84.86556455437388,136.16660199102105
1448,158,110.51494432027353,208.18071867869702,78.05348563499746,142.9764030055496
1058,180,110.41524139051297,195.31335460038164,81.88195745424797,138.948525326778
1496,950,110.17324435518586,255.50216346820295,93.92565812374572,126.420830586626
7612,333,110.03627439469504,209.4763772001744,87.53697426764062,132.53557452174945
1869,80,109.84620833333278,216.5785911218527,62.38633201581247,157.3060846508531
2146,54,109.78600649772545,261.86727023380024,39.94018776881903,179.63182522663186
1745,110,109.56071770334881,202.69758597851356,71.6808629318115,147.44057247488612
5160,166,109.46602621010308,188.4378739231585,80.79981984804823,138.13223257215793
3135,362,109.38573689056865,234.2090868659394,85.25861451822198,133.51285926291533
6600,327,109.34889577409325,213.21294097528732,86.2391187217629,132.4586728264236
4084,76,109.23208608852309,223.08711635407718,59.075985463393835,159.38818671365235
0199,110,108.92862440191354,230.0660826371953,65.93418144353882,151.92306736028826
8040,314,108.87459114342033,205.18992148193146,86.17869828446914,131.57048400237153
1835,80,108.85212499999946,216.84377290699345,61.33413816167814,156.37011183832078
0147,58,108.32042200885935,214.83495402977601,53.03036753308392,163.61047648463477
2188,344,108.2583439280868,286.3869055686148,77.99408757620412,138.52260027996948
3107,144,107.9356944444441,167.9671850487675,80.50105421981208,135.37033466907613
2865,948,107.69419707788637,195.18068703876486,95.26941600612497,120.11897814964777
0017,160,107.64967982456105,202.65384628168988,76.2481410132156,139.05121863590648
3310,294,107.6113002091851,269.0672940585849,76.85434661982175,138.36825379854844
1806,66,107.59145933014318,177.46599351166114,64.77613400076443,150.40678465952192
6205,120,107.45103615984368,205.8454268697896,70.62061616559484,144.28145615409252
3615,110,106.98245181134621,213.12291116217543,67.15432616131397,146.81057746137844
9445,80,106.66071030701725,201.01075352603183,62.61228681593631,150.7091337980982
2057,90,106.51580204992726,255.62646186284087,53.70282786973986,159.32877623011467
2882,112,106.23807179238382,221.61139712460414,65.19506667813442,147.28107690663322
0132,100,105.8011052631573,226.09939798269184,61.485623258549694,150.11658726776488
5253,231,105.74135418213139,508.32514930613235,40.1884890411085,171.29421932315427
0301,90,105.43153067929627,190.91411337395814,65.98826621138596,144.87479514720658
1570,66,105.41791848307604,257.23124674875373,43.35848221307364,167.47735475307843
7490,1229,105.07164955761617,196.80917862882393,94.06828558912161,116.07501352611072
9700,90,104.8457217506125,269.4782679240527,49.170934788881894,160.5205087123431
0035,204,104.61902046783584,178.7604461804291,80.08818059319108,129.1498603424806
7579,165,104.56242448251575,178.91708931259834,77.26221851854285,131.86263044648865
4302,252,104.46482029446341,213.1910203645738,78.14246728474753,130.7871733041793
3180,263,104.35796465692998,229.70784814241404,76.59575494099386,132.1201743728661
6506,336,104.32741822634509,194.46681599897204,83.53371045532384,125.12112599736633
0485,80,104.2984331140348,168.42411622962618,67.39087136593736,141.20599486213223
1055,352,104.21487360446527,189.66853553534588,84.40051445780017,124.02923275113037
7437,340,104.15440144478784,242.3248480204253,78.39625773605334,129.91254515352233
6280,166,103.90930891648051,229.5180546275179,68.99375939986491,138.8248584330961
5362,234,103.35089248523933,205.82928942951565,76.97814858768454,129.7236363827941
8345,210,103.21116583124429,164.45957814344192,80.96753923821495,125.45479242427362
0399,130,102.87641228070129,153.80589049187802,76.43666110487945,129.31616345652313
7310,81,102.86528822055102,201.25873532878776,59.03560808228169,146.69496835882035
2230,121,102.8213476873999,161.23777498464707,74.09170778104462,131.5509875937552
1862,881,102.68169299727617,224.73419053844262,87.84157797227472,117.52180802227763
6231,243,102.52496423672306,198.80969840944226,77.52781396198623,127.5221145114599
7220,405,102.48917933723156,181.08721606049545,84.85251896087111,120.12583971359201
2197,367,102.31672961299222,278.0997527260524,73.86401931620354,130.76943990978089
3613,1218,101.98674679156404,373.4122381278209,81.01565821876616,122.95783536436193
0101,181,101.96123824755225,180.14034062076405,75.71737515302087,128.20510134208362
0982,125,101.95210336486326,194.60514375775332,67.83631747612837,136.06788925359814
3880,1012,101.58902795961716,194.88181447180338,89.58195555164635,113.59610036758797
0607,66,101.18495215310963,149.97035760464766,65.00320530940044,137.36669899681883
1575,220,101.14812211889652,200.80213452614984,74.61349090884481,127.68275332894824
4960,549,101.07629819819502,208.0203812694158,83.67523488580589,118.47736151058415
2190,165,100.96488410419941,212.71379893843323,68.50778039929669,133.42198780910212
0556,542,100.81627976097212,169.02395416052173,86.5862867920921,115.04627272985215
0151,90,100.36764327485344,150.42181811504847,69.29017367974768,131.4451128699592
3920,179,100.36700907070309,197.578620133433,71.42227899471763,129.31173914668855
7500,228,100.25193042027777,180.45465946178342,76.82816294712977,123.67569789342578
0195,121,100.08608452950527,163.40457918333135,70.97035951138442,129.20180954762614
3974,90,100.07720214424911,203.98226777200946,57.934029005783,142.22037528271522
2868,250,99.93017768671645,182.71070005368912,77.28112465661899,122.57923071681391
3742,50,99.73841720430055,261.53316816149,27.245121533121576,172.2317128754795
0951,56,99.39906798245563,178.4413514609267,52.66241992647653,146.13571603843474
5321,140,99.32607223415647,208.13655402083145,64.84820337188992,133.80394109642302
1475,534,99.22184092207638,231.0878950189124,79.6215444973916,118.82213734676117
7798,233,99.12038777200466,179.64697049563446,76.05302165454077,122.18775388946855
0486,140,99.02895739348335,158.1832903997033,72.82585833546327,125.23205645150344
0194,73,98.99947608747874,175.32903571056033,58.7788815938223,139.2200705811352
0292,163,98.77504411020912,158.69982917609738,74.41159738596664,123.1384908344516
8577,60,98.66693784191621,169.45954734408883,55.78775620024199,141.54611948359042
1068,56,98.5951020408157,235.6080429110044,36.88558185092391,160.30462223070748
3602,121,98.33342830216003,212.67042687156814,60.43942496868062,136.22743163563945
1710,188,98.31864726998482,190.40776252740199,71.10029714103607,125.53699739893358
1124,171,98.26993955129245,186.91341000195382,70.25443316240546,126.28544594017944
4930,201,98.18311332227702,181.42104213532522,73.10206413012568,123.26416251442836
1050,1422,97.74598033824826,215.07500508568003,86.56715385816533,108.92480681833119
6625,153,97.28720006583997,189.0195120527671,67.33580927265001,127.23859085902993
6850,90,96.65319886289748,176.82793403697386,60.120169196972604,133.18622852882237
5500,63,96.30805346700024,237.56938144005167,37.643433241710326,154.97267369229013
9762,92,96.21775617602881,177.58564305666192,59.929173195258294,132.50633915679933
0530,172,95.81049826601347,160.81064283535846,71.77757300188736,119.84342353013957
4093,581,95.79105582998598,1118.973720442576,4.802265295163352,186.7798463648086
9306,180,95.6857261208573,176.49523900275392,69.90157644932894,121.46987579238565
6848,117,95.67622146764708,163.3102578310192,66.08406565992378,125.26837727537038
7442,80,95.07280259620799,227.4963046470723,45.220476817764215,144.92512837465176
6242,484,94.91148173227282,201.20162040986168,76.98624645939424,112.8367170051514
8570,251,94.58419838848678,163.7065596682432,74.33138820274041,114.83700857423315
1513,72,94.30985313305635,205.37968983307573,46.869565142730174,141.75014112338252
0812,343,94.30727501150794,163.09667834626632,77.04674498891139,111.5678050341045
3950,2001,94.26085136124601,183.1374820250565,86.23650316048902,102.285199562003
2574,150,94.04299833993538,189.61447802738866,63.698362031198755,124.387634648672
1812,200,93.98400772495715,179.14860530099108,69.15527776986232,118.81273768005198
2061,80,93.70600767543809,162.65526876324097,58.0626003658338,129.34941498504236
0269,622,93.62098683655901,171.77097066146507,80.12170548995012,107.12026818316791
0473,253,93.5989032906756,165.45305751335258,73.21109186694302,113.98671471440817
4700,55,93.10164572036115,187.78241894268535,43.47331635888519,142.7299750818371
1424,230,93.02906550035632,191.6567346456587,68.25962265000787,117.79850835070478
5180,275,92.81481290322536,181.9383911408581,71.31106923749284,114.31855656895787
7380,439,92.57372252022722,207.8318059144146,73.13195155571044,112.015493484744
0621,220,92.5245339429949,250.99304224222047,59.3575169294435,125.69155095654631
5410,610,91.98790448446124,168.346518510718,78.62824794057663,105.34756102834585
8575,180,91.67938831509738,191.99820867627596,63.630413299418976,119.72836333077579
0743,66,91.48990340587507,159.65089410555512,52.972636886267836,130.0071699254823
1466,180,91.33026023391773,270.9142415976912,51.75245976194879,130.90806070588667
0116,100,90.87448798245585,171.3867753914202,57.28268000573749,124.4662959591742
1559,715,90.58340210666488,174.700542637573,77.77787958170438,103.38892463162537
8165,99,90.56821371610792,152.11280022789916,60.60390689896221,120.53252053325363
1744,236,90.56019763619877,347.8273895482107,46.1825939627061,134.93780130969142
0250,772,90.54153073107685,161.67015917128927,79.13700348531768,101.94605797683602
1120,554,90.42827821635687,183.00498481897014,75.18901015268334,105.66754628003041
9431,197,90.32340808218308,168.58165595846776,66.7819545707127,113.86486159365346
5247,829,90.26634780257402,790.9057908444498,36.426532490773134,144.1061631143749
5608,135,90.25335347209078,185.22606396032464,59.007579615119695,121.49912732906186
1360,110,90.2260438596487,151.31196989531355,61.94906455000229,118.5030231692951
6059,88,90.22398518289835,161.34610439243292,56.512862245997624,123.93510811979907
2380,262,90.07822722127851,184.93488504672706,67.68460912698052,112.4718453155765
1034,599,90.01346869817793,201.81440779639956,73.85147890999508,106.17545848636078
1692,216,89.6087534519165,167.80436028746618,67.2301780001347,111.9873289036983
1571,60,89.15015704583993,170.64410866901844,45.97124003361015,132.32907405806972
0414,132,88.9404226475274,150.2675583251836,63.30536281448202,114.57548248057279
0628,132,88.89055821371572,160.6731031786226,61.48035298078237,116.30076344664907
0727,372,88.8561454442553,170.3546094859051,71.5444943451235,106.16779654338711
1240,110,88.642559808612,154.82541579264185,59.70899241136718,117.57612720585684
4400,148,88.638110765689,156.78273875941932,63.37868575626026,113.89753577511775
1064,616,88.44660698897131,156.87289846047574,76.05825215572935,100.83496182221327
1743,300,88.34173783625695,144.54707619393344,71.98469633943336,104.69877933308055
1851,108,88.17978557504846,156.37191042583356,58.68787314621845,117.67169800387846
7755,126,88.10086614385374,161.20803791061186,59.95222133726026,116.24951095044722
0617,399,88.03699960852855,143.70521544163154,73.93625153014943,102.13774768690766
1123,268,87.90330191149484,164.02238706932224,68.26554849904599,107.54105532394368
1709,1076,87.78897102306864,436.27182924808716,61.721007386151086,113.8569346599862
0310,110,87.60808931419433,173.70359711081278,55.14659254753478,120.06958608085388
0699,787,87.60368775150668,195.45268356937902,73.94810171464401,101.25927378836936
0970,72,87.59087719298199,154.96723061646654,51.795273180318326,123.38648120564565
7503,282,87.46515786864747,187.6065275427561,65.56841783690281,109.36189790039212
5480,90,87.28128492527573,156.31539475682564,54.9861897809882,119.57638006956326
0022,384,87.26916464337886,166.28473709660335,70.63722702914816,103.90110225760955
1560,50,87.06708771929787,304.4725733495235,2.6715961693973895,171.46257926919836
2860,60,87.00345614035061,151.26593094895756,48.72789462131086,125.27901765939035
8530,88,86.8776794258369,151.21785622510845,55.282719258343135,118.47263959333067
2534,130,86.77678646834167,169.2559194791991,57.68112321543606,115.87244972124728
8309,120,86.5712499999995,127.01709893735222,63.845007442894094,109.2974925571049
0623,180,86.47551315789435,147.45990672581055,64.9331286321079,108.01789768368081
0337,60,86.43314035087691,151.93437328161752,47.988439585047416,124.8778411167064
1740,162,86.37417429974738,211.62932566676938,53.784920821665,118.96342777782976
4309,547,86.26603035423624,999.571309029551,2.4984077161872165,170.03365299228525
4730,184,85.3455863075461,151.68002112222976,63.42886726414598,107.26230535094622
1061,736,85.34286706065396,252.49653594763194,67.10086130125143,103.58487282005649
1824,132,85.00254109430418,163.6861234488673,57.07832634549945,112.92675584310891
1629,81,84.84300114583496,180.70408025075847,45.489668113447564,124.19633417822236
1072,300,84.66514554109247,239.7375630316521,57.53628641705939,111.79400466512556
2125,169,84.46445335422895,167.68872019003658,59.18215400250036,109.74675270595753
3865,132,84.10201754385933,140.38263647336873,60.15328685557775,108.05074823214092
4070,306,83.73065393876809,224.28333787040305,58.600660863103336,108.86064701443283
3780,707,83.56262248509564,1803.6695877745158,-49.39197116527471,216.51721613546601
0351,100,83.48281298245587,140.59218429413195,55.92674486080601,111.03888110410573
3838,104,83.41054805515621,180.7519168268653,48.67114805519096,118.14994805512146
7600,334,83.39241971913518,161.20493174802857,66.10376654671725,100.6810728915531
5470,135,82.76964904235854,152.78349110134434,56.996610896637776,108.5426871880793
0821,126,82.42023598422553,139.36135786695917,58.08625479318365,106.7542171752674
0739,706,82.38395052339227,159.40820058509573,70.625113251906,94.14278779487854
0362,133,82.30083983302873,139.2596376514227,58.63316948169517,105.96851018436229
2193,154,82.2622869674182,149.40801556997158,58.664590616092255,105.85998331874416
7525,132,82.16338698387328,123.58961858313575,61.07947970253048,103.24729426521608
8566,127,81.90406576830662,124.87767766669043,60.18510581727884,103.62302571933441
2791,200,81.87899310979013,138.24993111600628,62.718530206812716,101.03945601276754
1053,683,81.70027841041026,153.64327889788217,70.17744491530256,93.22311190551797
2881,80,81.38737563667182,148.66097280840683,48.810603638188965,113.96414763515467
0462,64,81.24729047290566,160.7433738539278,41.86516387869335,120.62941706711797
2880,464,81.18995524468518,164.444767311134,66.22700817281424,96.15290231655612
0153,66,80.7844848484843,160.93919619958132,41.956403438729524,119.61256625823907
1365,88,80.7422955574415,133.15824875248612,52.92065021520666,108.56394089967633
0431,280,80.73558283207973,135.8946581697658,64.81791486865798,96.65325079550148
0561,100,80.65718347953178,134.5765869708337,54.28017243324838,107.03419452581518
9870,220,80.4692917065386,129.92455869453107,63.300648264458346,97.63793514861885
0149,50,80.2850789473681,140.0075939420882,41.47695386249536,119.09320403224086
1062,306,80.15353743836671,169.3788048715591,61.17536351781375,99.13171135891967
1054,459,80.11304055345289,232.6751917197013,58.826758668636444,101.39932243826934
0790,400,80.03965684776415,207.42980065616754,59.71153638345973,100.36777731206857
2735,852,79.9260680492117,153.0678394571333,69.64779321670704,90.20434288171634
9781,430,79.8300241968382,143.96300697294967,66.2226993497665,93.43734904390989
4454,197,79.67192208442582,160.93143566432914,57.198777603276866,102.14506656557477
1245,231,79.63025974025929,132.0385982315668,62.60275591697131,96.65776356354726
0370,850,79.57808313059648,146.23561265547298,69.74703646879475,89.40912979239822
4126,664,79.57406731637889,1029.2340515377755,1.287693399140366,157.8604412336174
1098,253,79.32760665002381,130.82955145636248,63.2062471307017,95.44896616934592
4066,2741,79.2064137718239,1653.33071611098,17.310598475643374,141.10222906800442
4405,1216,79.1040655480839,451.29485228854446,53.73820131428701,104.46992978188078
5120,148,78.94157761311484,154.04862909958422,54.12264776575961,103.76050746047008
