index,Eastern Cape,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Western Cape
Eastern Cape,1.0,0.8759018406602994,0.19499611542326073,0.035934555139879094,0.035934555139879094,0.035934555139879094,0.673791711680401
Gauteng,0.8759018406602994,1.0,0.0004923577539225688,0.0005266309679097239,3.0144376588647366e-05,3.4000078144459354e-09,0.383684824865899
KwaZulu-Natal,0.19499611542326073,0.0004923577539225688,1.0,1.8182171449348387e-06,6.789932070260472e-09,5.3835408351323296e-15,0.07197367863200368
Limpopo,0.035934555139879094,0.0005266309679097239,1.8182171449348387e-06,1.0,0.8308946092712363,0.673791711680401,0.0002291558755689044
Mpumalanga,0.035934555139879094,3.0144376588647366e-05,6.789932070260472e-09,0.8308946092712363,1.0,0.8374044887998229,1.518069417435398e-05
North West,0.035934555139879094,3.4000078144459354e-09,5.3835408351323296e-15,0.673791711680401,0.8374044887998229,1.0,1.716589666822402e-08
Western Cape,0.673791711680401,0.383684824865899,0.07197367863200368,0.0002291558755689044,1.518069417435398e-05,1.716589666822402e-08,1.0
